Título,Año,Género,Puntuación,N_Votos,Director/a,Local_carátula,Web_carátula
Predestination,2014,C-F,"6,4",15.113,"Michael Spierig, Peter Spierig, The Spierig Brothers",Pictures/predestination-972600742-msmall.jpg,https://pics.filmaffinity.com/predestination-972600742-msmall.jpg
Ghost in the Shell ARISE - border:4 Ghost Stands Alone,2014,C-F,"6,4",344,"Susumu Kudo, Kazuchika Kise",Pictures/ghost_in_the_shell_arise_border_4_ghost_stands_alone-161952215-msmall.jpg,https://pics.filmaffinity.com/ghost_in_the_shell_arise_border_4_ghost_stands_alone-161952215-msmall.jpg
Team Fortress: Expiration Date (C),2014,C-F,"6,4",66,"Anthony Burch, John Cook, Robin Walker",Pictures/team_fortress_expiration_date_s-247153622-msmall.jpg,https://pics.filmaffinity.com/team_fortress_expiration_date_s-247153622-msmall.jpg
LFO,2014,C-F,"6,3",148,Antonio Tublen,Pictures/lfo-206685015-msmall.jpg,https://pics.filmaffinity.com/lfo-206685015-msmall.jpg
Judge Dredd: Superfiend (TV),2014,C-F,"6,3",96,"Luis Pelayo Junquera, Enol Junquera",Pictures/judge_dredd_superfiend_tv-218173844-msmall.jpg,https://pics.filmaffinity.com/judge_dredd_superfiend_tv-218173844-msmall.jpg
Ghost in the Shell Arise -border:3 Ghost Tears,2014,C-F,"6,3",374,Kazuchika Kise,Pictures/kokaku_kidotai_arise_border_3_ghost_tears-710925606-msmall.jpg,https://pics.filmaffinity.com/kokaku_kidotai_arise_border_3_ghost_tears-710925606-msmall.jpg
Rakuen Tsuiho: Expelled from Paradise,2014,C-F,"6,2",52,Seiji Mizushima,Pictures/rakuen_tsuiho_expelled_from_paradise-692281502-msmall.jpg,https://pics.filmaffinity.com/rakuen_tsuiho_expelled_from_paradise-692281502-msmall.jpg
Bendito Machine V: Pull the Trigger (C),2014,C-F,"6,2",147,Jossie Malis,Pictures/bendito_machine_v_pull_the_trigger_s-831541372-msmall.jpg,https://pics.filmaffinity.com/bendito_machine_v_pull_the_trigger_s-831541372-msmall.jpg
In Your Eyes,2014,C-F,"6,1",1.509,Brin Hill,Pictures/in_your_eyes-801554395-msmall.jpg,https://pics.filmaffinity.com/in_your_eyes-801554395-msmall.jpg
Parásito. Parte 1,2014,C-F,"6,1",1.079,Takashi Yamazaki,Pictures/kiseiju_part_1-133809506-msmall.jpg,https://pics.filmaffinity.com/kiseiju_part_1-133809506-msmall.jpg
Star Wars Rebels: La chispa de la rebelión (TV),2014,C-F,"6,1",629,"Steward Lee, Steven G. Lee",Pictures/star_wars_rebels_spark_of_rebellion_tv-936460174-msmall.jpg,https://pics.filmaffinity.com/star_wars_rebels_spark_of_rebellion_tv-936460174-msmall.jpg
Phineas y Ferb: Star Wars (TV),2014,C-F,"6,1",278,Dan Povenmire,Pictures/phineas_and_ferb_star_wars_may_the_ferb_be_with_you_tv-587218294-msmall.jpg,https://pics.filmaffinity.com/phineas_and_ferb_star_wars_may_the_ferb_be_with_you_tv-587218294-msmall.jpg
La Liga de la Justicia: Guerra,2014,C-F,"6,0",842,Jay Oliva,Pictures/justice_league_war-152819704-msmall.jpg,https://pics.filmaffinity.com/justice_league_war-152819704-msmall.jpg
L3.0 (C),2014,C-F,"6,0",82,Alexis Decelle,Pictures/l3_0_s-481312489-msmall.jpg,https://pics.filmaffinity.com/l3_0_s-481312489-msmall.jpg
Relatos salvajes,2014,CO,"7,7",60.535,Damián Szifrón,Pictures/relatos_salvajes-102488639-msmall.jpg,https://pics.filmaffinity.com/relatos_salvajes-102488639-msmall.jpg
Billy Elliot. The Musical Live,2014,CO,"7,5",157,Stephen Daldry,Pictures/billy_elliot_the_musical_live-960900487-msmall.jpg,https://pics.filmaffinity.com/billy_elliot_the_musical_live-960900487-msmall.jpg
Jim Jefferies: BARE (TV),2014,CO,"7,4",71,Shannon Hartman,Pictures/jim_jefferies_bare_tv-982468779-msmall.jpg,https://pics.filmaffinity.com/jim_jefferies_bare_tv-982468779-msmall.jpg
Derek: The Special (TV),2014,CO,"7,4",240,Ricky Gervais,Pictures/derek_the_special_tv-552590575-msmall.jpg,https://pics.filmaffinity.com/derek_the_special_tv-552590575-msmall.jpg
Monty Python en vivo (Más o menos),2014,CO,"7,3",393,"Aubrey Powell, Eric Idle",Pictures/monty_python_live_mostly-660795441-msmall.jpg,https://pics.filmaffinity.com/monty_python_live_mostly-660795441-msmall.jpg
El Gran Hotel Budapest,2014,CO,"7,3",66.846,Wes Anderson,Pictures/the_grand_budapest_hotel-247331769-msmall.jpg,https://pics.filmaffinity.com/the_grand_budapest_hotel-247331769-msmall.jpg
Pride (Orgullo),2014,CO,"7,3",12.557,Matthew Warchus,Pictures/pride-743164194-msmall.jpg,https://pics.filmaffinity.com/pride-743164194-msmall.jpg
PK,2014,CO,"7,2",600,Rajkumar Hirani,Pictures/pk-849873222-msmall.jpg,https://pics.filmaffinity.com/pk-849873222-msmall.jpg
Bill Burr: I'm Sorry You Feel That Way (TV),2014,CO,"7,2",74,Jay Karas,Pictures/bill_burr_i_m_sorry_you_feel_that_way_tv-840687721-msmall.jpg,https://pics.filmaffinity.com/bill_burr_i_m_sorry_you_feel_that_way_tv-840687721-msmall.jpg
JohnnyExpress (C),2014,CO,"7,1",1.181,Kyungmin Woo,Pictures/johnnyexpress_johnny_express_s-402786788-msmall.jpg,https://pics.filmaffinity.com/johnnyexpress_johnny_express_s-402786788-msmall.jpg
Inside No. 9: A Quiet Night In (TV),2014,CO,"7,1",546,David Kerr,Pictures/inside_no_9_a_quiet_night_in_tv-988055618-msmall.jpg,https://pics.filmaffinity.com/inside_no_9_a_quiet_night_in_tv-988055618-msmall.jpg
Detective Conan 18: Sniper From Another Dimension,2014,CO,"7,1",71,Kobun Shizuno,Pictures/meitantei_conan_ijigen_no_sniper_detective_conan_18_sniper_from_another_dimension-162705617-msmall.jpg,https://pics.filmaffinity.com/meitantei_conan_ijigen_no_sniper_detective_conan_18_sniper_from_another_dimension-162705617-msmall.jpg
Birdman o (La Inesperada Virtud de la Ignorancia),2014,CO,"7,1",70.114,Alejandro González Iñárritu,Pictures/birdman_or_the_unexpected_virtue_of_ignorance-402510071-msmall.jpg,https://pics.filmaffinity.com/birdman_or_the_unexpected_virtue_of_ignorance-402510071-msmall.jpg
Big Hero 6,2014,CO,"7,0",34.883,"Chris Williams, Don Hall",Pictures/big_hero_6-799861615-msmall.jpg,https://pics.filmaffinity.com/big_hero_6-799861615-msmall.jpg
Buenas migas (C),2014,CO,"7,0",3.348,Patrick Osborne,Pictures/feast_s-457926709-msmall.jpg,https://pics.filmaffinity.com/feast_s-457926709-msmall.jpg
Nada S.A. (C),2014,CO,"6,9",267,"Caye Casas, Albert Pintó",Pictures/nada_s_a_s-852663196-msmall.jpg,https://pics.filmaffinity.com/nada_s_a_s-852663196-msmall.jpg
La familia Bélier,2014,CO,"6,9",13.991,Eric Lartigau,Pictures/la_famille_belier-877695557-msmall.jpg,https://pics.filmaffinity.com/la_famille_belier-877695557-msmall.jpg
Guardianes de la galaxia,2014,CO,"6,9",57.376,James Gunn,Pictures/guardians_of_the_galaxy-595487268-msmall.jpg,https://pics.filmaffinity.com/guardians_of_the_galaxy-595487268-msmall.jpg
Güeros,2014,CO,"6,9",1.439,Alonso Ruizpalacios,Pictures/gueros-622939294-msmall.jpg,https://pics.filmaffinity.com/gueros-622939294-msmall.jpg
Tour de Force,2014,CO,"6,9",52,Christian Zübert,Pictures/hin_und_weg-678076451-msmall.jpg,https://pics.filmaffinity.com/hin_und_weg-678076451-msmall.jpg
Hill of Freedom,2014,CO,"6,8",368,Hong Sang-soo,Pictures/jayuui_eondeok_hill_of_freedom-678860272-msmall.jpg,https://pics.filmaffinity.com/jayuui_eondeok_hill_of_freedom-678860272-msmall.jpg
Wood job!,2014,CO,"6,8",81,Shinobu Yaguchi,Pictures/kamusari_nana_nichijo-826597072-msmall.jpg,https://pics.filmaffinity.com/kamusari_nana_nichijo-826597072-msmall.jpg
Kingsman: Servicio secreto,2014,CO,"6,8",36.843,Matthew Vaughn,Pictures/kingsman_the_secret_service-485444831-msmall.jpg,https://pics.filmaffinity.com/kingsman_the_secret_service-485444831-msmall.jpg
La dictadura perfecta,2014,CO,"6,8",1.214,Luis Estrada,Pictures/la_dictadura_perfecta-995719025-msmall.jpg,https://pics.filmaffinity.com/la_dictadura_perfecta-995719025-msmall.jpg
Lo que hacemos en las sombras,2014,CO,"6,8",14.029,"Taika Waititi, Jemaine Clement",Pictures/what_we_do_in_the_shadows-908458848-msmall.jpg,https://pics.filmaffinity.com/what_we_do_in_the_shadows-908458848-msmall.jpg
Inside No. 9: Tom & Gerri (TV),2014,CO,"6,8",440,David Kerr,Pictures/inside_no_9_tom_gerri_tv-185214087-msmall.jpg,https://pics.filmaffinity.com/inside_no_9_tom_gerri_tv-185214087-msmall.jpg
La LEGO película,2014,CO,"6,7",23.195,"Phil Lord, Christopher Miller",Pictures/the_lego_movie-819614387-msmall.jpg,https://pics.filmaffinity.com/the_lego_movie-819614387-msmall.jpg
Too Many Cooks (TV) (C),2014,CO,"6,7",486,Chris 'Casper' Kelly,Pictures/too_many_cooks_tv_s-577909566-msmall.jpg,https://pics.filmaffinity.com/too_many_cooks_tv_s-577909566-msmall.jpg
El libro de la vida,2014,CO,"6,7",5.693,Jorge R. Gutiérrez,Pictures/the_book_of_life-733755442-msmall.jpg,https://pics.filmaffinity.com/the_book_of_life-733755442-msmall.jpg
Midnight Diner,2014,CO,"6,7",78,Joji Matsuoka,Pictures/shinya_shokudo_the_movie-296822824-msmall.jpg,https://pics.filmaffinity.com/shinya_shokudo_the_movie-296822824-msmall.jpg
Black Mirror: Blanca Navidad (TV),2014,DR,"7,9",25.023,Carl Tibbetts,Pictures/black_mirror_white_christmas_tv-291312567-msmall.jpg,https://pics.filmaffinity.com/black_mirror_white_christmas_tv-291312567-msmall.jpg
Interstellar,2014,DR,"7,9",96.269,Christopher Nolan,Pictures/interstellar-366875261-msmall.jpg,https://pics.filmaffinity.com/interstellar-366875261-msmall.jpg
Whiplash,2014,DR,"7,8",58.334,Damien Chazelle,Pictures/whiplash-344887410-msmall.jpg,https://pics.filmaffinity.com/whiplash-344887410-msmall.jpg
Relatos salvajes,2014,DR,"7,7",60.535,Damián Szifrón,Pictures/relatos_salvajes-102488639-msmall.jpg,https://pics.filmaffinity.com/relatos_salvajes-102488639-msmall.jpg
From What Is Before,2014,DR,"7,5",74,Lav Diaz,Pictures/mula_sa_kung_ano_ang_noon_from_what_is_before-598543154-msmall.jpg,https://pics.filmaffinity.com/mula_sa_kung_ano_ang_noon_from_what_is_before-598543154-msmall.jpg
Billy Elliot. The Musical Live,2014,DR,"7,5",157,Stephen Daldry,Pictures/billy_elliot_the_musical_live-960900487-msmall.jpg,https://pics.filmaffinity.com/billy_elliot_the_musical_live-960900487-msmall.jpg
Mommy,2014,DR,"7,5",13.902,Xavier Dolan,Pictures/mommy-323667551-msmall.jpg,https://pics.filmaffinity.com/mommy-323667551-msmall.jpg
The Fool,2014,DR,"7,5",668,Yuriy Bykov,Pictures/durak-253111713-msmall.jpg,https://pics.filmaffinity.com/durak-253111713-msmall.jpg
Derek: The Special (TV),2014,DR,"7,4",240,Ricky Gervais,Pictures/derek_the_special_tv-552590575-msmall.jpg,https://pics.filmaffinity.com/derek_the_special_tv-552590575-msmall.jpg
Sueño de invierno (Winter Sleep),2014,DR,"7,4",3.849,Nuri Bilge Ceylan,Pictures/kis_uykusu_sommeil_d_hiver-771656456-msmall.jpg,https://pics.filmaffinity.com/kis_uykusu_sommeil_d_hiver-771656456-msmall.jpg
Boyhood (Momentos de una vida),2014,DR,"7,3",46.479,Richard Linklater,Pictures/boyhood-954973569-msmall.jpg,https://pics.filmaffinity.com/boyhood-954973569-msmall.jpg
Pride (Orgullo),2014,DR,"7,3",12.557,Matthew Warchus,Pictures/pride-743164194-msmall.jpg,https://pics.filmaffinity.com/pride-743164194-msmall.jpg
Conducta,2014,DR,"7,2",1.597,Ernesto Daranas,Pictures/conducta-510225907-msmall.jpg,https://pics.filmaffinity.com/conducta-510225907-msmall.jpg
The Imitation Game (Descifrando Enigma),2014,DR,"7,2",53.442,Morten Tyldum,Pictures/the_imitation_game-824166913-msmall.jpg,https://pics.filmaffinity.com/the_imitation_game-824166913-msmall.jpg
PK,2014,DR,"7,2",600,Rajkumar Hirani,Pictures/pk-849873222-msmall.jpg,https://pics.filmaffinity.com/pk-849873222-msmall.jpg
In the Crosswind,2014,DR,"7,2",486,Martti Helde,Pictures/risttuules-662481566-msmall.jpg,https://pics.filmaffinity.com/risttuules-662481566-msmall.jpg
Leviatán,2014,DR,"7,2",5.974,Andrey Zvyagintsev,Pictures/leviafan_leviathan-997278424-msmall.jpg,https://pics.filmaffinity.com/leviafan_leviathan-997278424-msmall.jpg
Corn Island,2014,DR,"7,2",1.202,George Ovashvili,Pictures/simindis_kundzuli_corn_island-507527150-msmall.jpg,https://pics.filmaffinity.com/simindis_kundzuli_corn_island-507527150-msmall.jpg
